index,wav_file,old_name,segment_text,question,C1,C2,C3,C4,C_correct,summary,duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,sum_true.thisRepN,sum_true.thisTrialN,sum_true.thisN,sum_true.thisIndex,dummy_loop.thisRepN,dummy_loop.thisTrialN,dummy_loop.thisN,dummy_loop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,sum_true_exp.thisRepN,sum_true_exp.thisTrialN,sum_true_exp.thisN,sum_true_exp.thisIndex,dummy_loop_exp.thisRepN,dummy_loop_exp.thisTrialN,dummy_loop_exp.thisN,dummy_loop_exp.thisIndex,thisRow.t,notes,Instructions.started,Instructions.stopped,Start_Segment_Train.started,Play_train.started,Trial_counter_train.started,text_5.started,Start_Segment_Train.stopped,Play_train.numClicks,Play_train.timesOn,Play_train.timesOff,Training_Segment.started,Experimen_audio.started,polygon.started,polygon.stopped,Training_Segment.stopped,Rating.started,slider.started,text_3.started,button_2.started,Rating.stopped,slider.response,slider.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,Start_Summary.started,text_2.started,Start_Summary.stopped,summary_button.numClicks,summary_button.timesOn,summary_button.timesOff,skip_button.numClicks,skip_button.timesOn,skip_button.timesOff,Summary.started,textbox.started,Summary.stopped,textbox.text,Multiple_Choice_2.started,Multiple_Choice_2.stopped,A.numClicks,A.timesOn,A.timesOff,B.numClicks,B.timesOn,B.timesOff,C.numClicks,C.timesOn,C.timesOff,D.numClicks,D.timesOn,D.timesOff,Start_Exp.started,Start_exp.started,Start.started,Start_Exp.stopped,Start.numClicks,Start.timesOn,Start.timesOff,Start_Segment.started,Play.started,Trial_counter.started,text_6.started,Start_Segment.stopped,Play.numClicks,Play.timesOn,Play.timesOff,Start_Sum_Exp.started,text_4.started,summary_button_exp.started,skip_button_exp.started,Start_Sum_Exp.stopped,summary_button_exp.numClicks,summary_button_exp.timesOn,summary_button_exp.timesOff,skip_button_exp.numClicks,skip_button_exp.timesOn,skip_button_exp.timesOff,textbox.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,Someday_68_condition-2-5x.wav,Someday__Someday__Maybe__Unabridged___File_033_of_116_2.wav,I'm looking into a giant mirror on a wall of mirrors each framed by dozens of fluorescent light bulbs In the blinding light my face looks nothing like the face I have in Brooklyn I wonder if this is my real face or if the face I have in Brooklyn is the real one and what my queen's face might look like Um no not that I can think of I tell her I wonder if I will over time develop preferences and what they might be in regard to my face being made up,How does the narrator describe the mirror she is looking at?,A. Framed by fluorescent lights,B. Vintage,C. Broken,D. Not big enough,A. Framed by fluorescent lights,yes,13.04625,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.1709177079997,749.4299652499999,1,3.24960800000008,3.249610583000049,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_61_condition.wav,Someday__Someday__Maybe__Unabridged___File_030_of_116_0.wav,He said we all we all is not asking you out but why leave a message just to we all me I think he's asking me out in his own way We all means I asked for your number because I think you're cute but I'm seeing someone So I'm trying to pretend to myself that I just asked for your number to be friends with you And I'm asking if you want to have a drink sometime with me and my girlfriend which will never But it helps me feel like less of a shithead for asking for your number in the first place You've been we all'd my friend,What does the term "we all'd" imply in the context given by the narrator?,A. The person is directly asking the narrator out on a date,B. The person left a message to genuinely make a new friend,C. The person is extending an invitation for a group outing,D. The person might be expressing interest under the guise of friendship despite being in a relationship,D. The person might be expressing interest under the guise of friendship despite being in a relationship,no,30.38003125,,,,,,,,,,,,,0,15,15,15,,,,,,,,,749.4377500410001,,,,,,,,,,,,753.1772337500001,753.2265382079997,753.2187455829999,783.605722625,783.6083812500001,783.6306816249999,783.8724265410001,783.8724265410001,785.1159789580001,785.9682667080001,9.966666666666667,1.4576358750000509,1,[0.8617428330003349],[0.8617451660002189],,,,,,,,,,,,,,785.968717791,793.8331573749997,0,,,0,,,0,,,1,7.852736249999907,7.852739333000045,,,,,,,,749.430509708,749.4377500410001,749.4377500410001,749.4377500410001,753.177049208,1,[3.744989667000027],[3.7449923330000274],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_105_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_047_of_116_1.wav,Like he was a person but from another planet or something But the longer I work for him the more I see he's just this guy this very unusually gorgeous extremely muscly guy who's sort of funny and sort of smart but who's a regular person who married the girl he dated in high school and doesn't seem to know how he got here He seems totally baffled by his success and he's always asking my opinion about things like his wardrobe or whatever And I'm wondering if he's forgotten I'm just the PA on my very first movie ever,What is the narrator's perception of the person she works for?,A. He's like a person from another planet,B. He's extremely muscly and smart,C. He's very confident and self-assured,D. He's just a regular person baffled by his success,D. He's just a regular person baffled by his success,no,11.1975,,,,,,,,,,,,,0,16,16,16,,,,,,,,,793.8413102909999,,,,,,,,,,,,796.96078425,796.9736523326667,796.9762757079998,808.1739023750001,808.176829125,808.1880339999998,808.3944651249999,808.3944651249999,810.023892875,811.1459915,9.008333333333333,1.8110044999998536,1,[1.1314111669998965],[1.1314136249998228],,,,,,,,,,,,,,811.1464121250001,816.1411036659997,0,,,1,4.984880292000071,4.984883374999754,0,,,0,,,,,,,,,,793.833733083,793.8413102909999,793.8413102909999,793.8413102909999,796.9605141249999,1,[3.124816500000179],[3.1248258750001696],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_84_condition.wav,Someday__Someday__Maybe__Unabridged___File_038_of_116_0.wav,The offices of absolute artists are on the 32nd floor of a sleek glass high rise building on 56th Street near Fifth Avenue in the middle of countless stores and apartments I could never afford I come to this part of town only once in a while to go to Central Park although I like our park in Brooklyn just as much The streets are wider here and the buildings are much taller than downtown and lots of people are wearing suits and carrying briefcases and crossing the street dangerously in the middle of the block,Where is Absolute Artists' office located?,A. In Brooklyn,B. On Fifth Avenue,C. By Central Park,D. On the 32nd floor of a high rise,D. On the 32nd floor of a high rise,yes,29.21,,,,,,,,,,,,,0,17,17,17,0,0,0,0,0,0,0,0,863.028243791,,,,,,,,,,,,829.99869425,830.0313300833332,830.030397083,859.2324323749999,859.2448702080001,859.266279083,859.468387208,859.468387208,860.9587407499998,861.7820069579998,9.941666666666666,1.6647124999999505,1,[0.8363047910002024],[0.8363070830000652],,,,,,,,,,863.0186723749998,863.028243791,878.011888041,crossing the street dangerously in the middle of the block wearing suits park brooklyn,,,,,,,,,,,,,,,,,,,,,,816.141655291,816.147427208,816.147427208,816.147427208,829.9985052500001,1,[13.856383207999897],[13.856385832999877],861.7824972499998,861.7918157499998,861.7918157499998,861.7918157499998,863.0177509159998,1,[1.2345062500003223],[1.234508709000238],0,,,878.0324084579997,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_84_condition.wav,Someday__Someday__Maybe__Unabridged___File_038_of_116_0.wav,The offices of absolute artists are on the 32nd floor of a sleek glass high rise building on 56th Street near Fifth Avenue in the middle of countless stores and apartments I could never afford I come to this part of town only once in a while to go to Central Park although I like our park in Brooklyn just as much The streets are wider here and the buildings are much taller than downtown and lots of people are wearing suits and carrying briefcases and crossing the street dangerously in the middle of the block,Where is Absolute Artists' office located?,A. In Brooklyn,B. On Fifth Avenue,C. By Central Park,D. On the 32nd floor of a high rise,D. On the 32nd floor of a high rise,yes,29.21,,,,,,,,,,,,,0,17,17,17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_84_condition.wav,Someday__Someday__Maybe__Unabridged___File_038_of_116_0.wav,The offices of absolute artists are on the 32nd floor of a sleek glass high rise building on 56th Street near Fifth Avenue in the middle of countless stores and apartments I could never afford I come to this part of town only once in a while to go to Central Park although I like our park in Brooklyn just as much The streets are wider here and the buildings are much taller than downtown and lots of people are wearing suits and carrying briefcases and crossing the street dangerously in the middle of the block,Where is Absolute Artists' office located?,A. In Brooklyn,B. On Fifth Avenue,C. By Central Park,D. On the 32nd floor of a high rise,D. On the 32nd floor of a high rise,yes,29.21,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.0121597909997,881.7144905,1,3.691637417000038,3.6916401670000596,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_48_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_025_of_116_1.wav,But why not It's every actor's dream to perform on Broadway I protest and she gives me an indulgent smile I don't mean to shit on your dreams sweetie but I'm mainly out of show business these days This is as close as I want to be to that life she says putting her arm around Leighton's waist I just lost what the point of it all was,What is every actor's dream according to the narrator?,A. Performing in front of 1000 people,B. Performing in a Hollywood movie,C. Performing in an independent movie,D. Performing in a Broadway play,D. Performing in a Broadway play,no,6.475,,,,,,,,,,,,,0,18,18,18,,,,,,,,,881.727387333,,,,,,,,,,,,884.734456875,884.7504477076666,884.746389333,891.2184897910001,891.230014833,891.240689666,891.4789170409999,891.4789170409999,892.95509575,896.7225275410001,7.008333333333334,4.688738792000095,1,[3.7766536659996746],[3.77665583299995],,,,,,,,,,,,,,896.7229590829998,900.8198321659997,0,,,0,,,0,,,1,4.087473624999802,4.087476125000194,,,,,,,,881.715064041,881.727387333,881.727387333,881.727387333,884.7342707079997,1,[3.01755754099986],[3.0175601659998392],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_66_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_032_of_116_1.wav,These are perfect Let's Polaroid these two we might have to cut them in the back though She says you guys really shouldn't fudge your sizes you know she attempts a smile but I can tell she's irritated I Didn't fudge my sizes I say as nicely as I can at least I don't think I did Well what jean size did you give them Eight maybe in inches I mean I'm not sure I didn't know they made pants in sizes like that,What does the woman suggest regarding jeans sizes?,A. The narrator should not fudge her size,B. The narrator should avoid mentioning her size,C. Sizes like eight inches don't exist,D. Smiles are essential for jeans fittings,A. The narrator should not fudge her size,no,7.1725,,,,,,,,,,,,,0,19,19,19,,,,,,,,,900.826753416,,,,,,,,,,,,904.052772,904.0687732916665,904.0652682079999,911.2360671659999,911.2474757499999,911.2583890830001,911.465985625,911.465985625,915.7467161249997,917.2411750410001,1.5000000000000002,4.463063749999947,1,[1.5042340420000073],[1.5042364589999124],,,,,,,,,,,,,,917.2416105829998,926.1908653329997,1,8.940388958999847,8.940391708999869,0,,,0,,,0,,,,,,,,,,900.820254666,900.826753416,900.826753416,900.826753416,904.052578416,1,[3.2310270829998444],[3.231029665999813],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_149_condition-2x.wav,Someday__Someday__Maybe__Unabridged___File_098_of_116_1.wav,"The minute James got back into town, any doubts I might have had about us evaporated. He was tanned from the sun, proof of his days spent shooting in the desert and the sight of him made me melt. I'm confused by his message though. We discussed going to the premiere of his movie together. You're sending a car, I say, when he picks up. Like a rental car? No, like a car with a driver to pick you up. Like a limousine? Well, no, that'll probably just be a town car, a sedan. Is that okay?",How will the narrator go to the premiere?,A. By calling a cab,B. By renting a car,C. She will be picked up by a driver,D. She will be picked up by Dan,C. She will be picked up by a driver,no,15.69753125,,,,,,,,,,,,,0,20,20,20,,,,,,,,,926.1978652499997,,,,,,,,,,,,928.6186231659999,928.6478453333334,928.6393387499998,944.33707675,944.3498005000001,944.3610559579997,944.5687324999999,944.5687324999999,948.8139310829997,949.5717192080001,9.049999999999999,4.42489016699983,1,[0.7708165420003752],[0.7708186670001851],,,,,,,,,,,,,,949.5721477910001,953.2592236659998,0,,,0,,,1,3.678792833999978,3.6787958749996506,0,,,,,,,,,,926.19142775,926.1978652499997,926.1978652499997,926.1978652499997,928.618339958,1,[2.4261158340000293],[2.4261309589996927],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_92_condition-2-5x.wav,Someday__Someday__Maybe__Unabridged___File_040_of_116_1.wav,The chair I'm using is a cushiony office chair with wheels and I become aware about halfway through the monologue that I've been sort of sliding back and forth in it the chair with wheels equivalent of pacing I steady my feet on the floor and command myself to stop moving which causes me to forget my next line Shit I've totally lost my place I pause trying to stay in character I look out the window as though I'm she's having an important thought If I relax it will come to me If I panic it will not That's what I've learned in class,Why does the narrator look out the window during the monologue?,A. To take the agent's attention,B. To stay in character and find the next line,C. To see something interesting,D. To distract herself,B. To stay in character and find the next line,no,13.278125,,,,,,,,,,,,,0,21,21,21,,,,,,,,,953.2674195,,,,,,,,,,,,957.122368666,957.1383714576666,957.1412194159998,970.4401334159998,970.4209244579997,970.4320070409999,970.6345402080001,970.6345402080001,971.783357458,972.8444521659999,9.941666666666666,1.3270423330000085,1,[1.070127875000253],[1.0701305830002639],,,,,,,,,,,,,,972.8448720829997,977.323760833,0,,,1,4.470336166999914,4.4703385419998085,0,,,0,,,,,,,,,,953.2597677909998,953.2674195,953.2674195,953.2674195,957.1221866249998,1,[3.8607141659999797],[3.8607167910004137],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_98_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_044_of_116_0.wav,Yes Laughing girl has no lines She just laughs She just so there's no scene Nope She's a girl She laughs They want a funny laugher That's it Take a seat They'll be with you in a minute I squeeze onto the lumpy sofa next to a skinny brunette wearing high heeled black boots and funky glasses I should wear high heeled boots instead of Doc Martens I think to myself as I break into a nervous sweat I should get some funky glasses I should have a funny laugh,What is the role that the narrator is auditioning for?,A. A dramatic lead,B. A character with no lines,C. A comedy writer,D. A serious actress,B. A character with no lines,no,10.935,,,,,,,,,,,,,0,22,22,22,,,,,,,,,977.3311865410001,,,,,,,,,,,,979.3763573749998,979.3921989576668,979.3925844159999,990.3342466250001,990.335926833,990.3471542909997,990.5532950829997,990.5532950829997,995.168128541,995.941150958,6.541666666666666,4.795935167000152,1,[0.7828355000001466],[0.7828378330000305],,,,,,,,,,,,,,995.9415750829999,999.275596,0,,,1,3.3259839580000516,3.325986583000031,0,,,0,,,,,,,,,,977.3242275829998,977.3311865410001,977.3311865410001,977.3311865410001,979.3761561249999,1,[2.0504375830000754],[2.0504400830000122],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_144_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_092_of_116_1.wav,"Numbly, I watch my father behave in a way I've seldom seen. I'm riveted by how unfamiliar he seems to me, and I can't look away, even though his loopy expression makes me feel a little queasy. He's grinning so wide, he looks positively goofy. He calls her Dr. Mary, as in, Dr. Mary and I both love the New Haven Symphony season, and in response she laughs and rolls her eyes. It's so embarrassing when he calls me that, isn't it, Frances?",What does the narrator's father call the woman?,A. Dr. Mary,B. Dr. Shelly,C. Dr. Meryl,D. Dr. Kelly,A. Dr. Mary,no,11.07021875,,,,,,,,,,,,,0,23,23,23,,,,,,,,,999.2831947079999,,,,,,,,,,,,1002.0108057080001,1002.0266739996666,1002.027330291,1013.0918068329997,1013.1034546249998,1013.1146932080001,1013.3218952500001,1013.3218952500001,1016.2343660000001,1018.113058333,6.916666666666667,4.38259808399971,1,[1.8918830839998009],[1.8918855839997377],,,,,,,,,,,,,,1018.1134755829999,1020.3093228329999,1,2.188044208000065,2.1880464170003506,0,,,0,,,0,,,,,,,,,,999.276050083,999.2831947079999,999.2831947079999,999.2831947079999,1002.0106147910001,1,[2.734038290999706],[2.7340409159996852],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_43_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_023_of_116_1.wav,Then I'll call my dad and tell him I'm leaving New York You're doing the right thing honey he'll say Now you can get your teaching certificate I imagine what a relief it will be to have a real job I'll have a regular paycheck and a desk and a phone and a fax machine I'll have a computer which hopefully would come with someone to teach me how to use it And I'll have people to go out with sometimes after work for a drink at Bennigan's who'll me about their boyfriend or their kid or a project they're working on in their garage,What does the narrator think her father will say when she leaves New York?,A. That she is doing the right thing,B. That she should have tried harder,C. That she can go back to New York if she wants to,D. That she should have done it earlier,A. That she is doing the right thing,no,9.38125,,,,,,,,,,,,,0,24,24,24,,,,,,,,,1020.3169605409998,,,,,,,,,,,,1022.3762273749999,1022.3921953746665,1022.3912815409999,1031.7698207499998,1031.7791203329998,1031.789917833,1031.9942126249998,1031.9942126249998,1035.9537665829998,1036.692125041,5.991666666666666,4.139714000000367,1,[0.7475424580002255],[0.7475454999998874],,,,,,,,,,,,,,1036.692534458,1044.5068187910001,1,7.804246541000339,7.8042492909999055,0,,,0,,,0,,,,,,,,,,1020.309761083,1020.3169605409998,1020.3169605409998,1020.3169605409998,1022.3760312499999,1,[2.0649064579997685],[2.0649098330000015],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_143_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_088_of_116_3.wav,I know maybe I can give you my ID and you can pretend to be me Good thinking where can I get colored contacts and all of complexion and darker straighter hair in about an hour? I'm just brainstorming here. It's fine. Forget it. I just won't go But it feels terrible to even speak that possibility out loud. I've never missed a Finnegan wedding I haven't seen my dad in months haven't even really spoken to him His messages have had a strange sound to them lately. I think he's lonely. I can rent the car.,What does the narrator think about her father?,A. He is sad,B. He is lonely,C. He is cheerful,D. He is proud,B. He is lonely,yes,11.5933125,,,,,,,,,,,,,0,25,25,25,0,0,0,0,0,0,0,0,1065.6711647500001,,,,,,,,,,,,1047.1941376659997,1047.2101271666668,1047.211205125,1058.8048374159998,1058.806906416,1058.8292202499997,1059.0416809999997,1059.0416809999997,1063.781295875,1064.449523916,5.65,4.923759917000098,1,[0.677394834000097],[0.6773970419999387],,,,,,,,,,1065.6464336660001,1065.6711647500001,1080.655622958,i think he's lonely car dad haven't spoken to him lately,,,,,,,,,,,,,,,,,,,,,,1044.507372916,1044.520007041,1044.520007041,1044.520007041,1047.1939497499998,1,[2.6849891669999124],[2.684991749999881],1064.4499945409998,1064.455992916,1064.455992916,1064.455992916,1065.645674083,1,[1.1948834999998326],[1.1948860829998011],0,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_143_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_088_of_116_3.wav,I know maybe I can give you my ID and you can pretend to be me Good thinking where can I get colored contacts and all of complexion and darker straighter hair in about an hour? I'm just brainstorming here. It's fine. Forget it. I just won't go But it feels terrible to even speak that possibility out loud. I've never missed a Finnegan wedding I haven't seen my dad in months haven't even really spoken to him His messages have had a strange sound to them lately. I think he's lonely. I can rent the car.,What does the narrator think about her father?,A. He is sad,B. He is lonely,C. He is cheerful,D. He is proud,B. He is lonely,yes,11.5933125,,,,,,,,,,,,,0,25,25,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_143_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_088_of_116_3.wav,I know maybe I can give you my ID and you can pretend to be me Good thinking where can I get colored contacts and all of complexion and darker straighter hair in about an hour? I'm just brainstorming here. It's fine. Forget it. I just won't go But it feels terrible to even speak that possibility out loud. I've never missed a Finnegan wedding I haven't seen my dad in months haven't even really spoken to him His messages have had a strange sound to them lately. I think he's lonely. I can rent the car.,What does the narrator think about her father?,A. He is sad,B. He is lonely,C. He is cheerful,D. He is proud,B. He is lonely,yes,11.5933125,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.6558073749998,1083.233488375,0,,,1,2.569672999999966,2.56967612499966,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_116_condition-2x.wav,Someday__Someday__Maybe__Unabridged___File_052_of_116_0.wav,Yes I noticed that this may come as a shock to you But many studies have shown there's at least a slight nutritional difference between spinach that's rotting in the crisper drawer and spinach That's ingested into the body Details I scoff I give up she says heading for the kitchen more coffee I Stare down at my bagel which seems to I me warily back Maybe Jane's right Maybe I need more education I wonder what Penelope schlotzky eats on Sunday Probably not bagels,What does the narrator stare down at?,A. A bagel,B. Some spinach,C. A cup of coffee,D. A cup of tea,A. A bagel,yes,14.315,,,,,,,,,,,,,0,26,26,26,0,0,0,0,0,0,0,0,1103.2083401659997,,,,,,,,,,,,1085.294831875,1085.3103975826664,1085.314463625,1099.640347208,1099.6420653330001,1099.6633768329998,1099.9118241659999,1099.9118241659999,1101.125024333,1102.2018937499997,10,1.4371128749999116,1,[1.0858467919997565],[1.0858490830000846],,,,,,,,,,1103.198672,1103.2083401659997,1118.1920089159998,nutritional value spinach rotting in the crisper bagels penelope sundays,,,,,,,,,,,,,,,,,,,,,,1083.2340410409997,1083.240224791,1083.240224791,1083.240224791,1085.29463725,1,[2.060108333000244],[2.0601110830002654],1102.202413208,1102.20802,1102.20802,1102.20802,1103.1978544999997,1,[0.9946588749999137],[0.9946614169998611],0,,,1118.2103765409997,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_116_condition-2x.wav,Someday__Someday__Maybe__Unabridged___File_052_of_116_0.wav,Yes I noticed that this may come as a shock to you But many studies have shown there's at least a slight nutritional difference between spinach that's rotting in the crisper drawer and spinach That's ingested into the body Details I scoff I give up she says heading for the kitchen more coffee I Stare down at my bagel which seems to I me warily back Maybe Jane's right Maybe I need more education I wonder what Penelope schlotzky eats on Sunday Probably not bagels,What does the narrator stare down at?,A. A bagel,B. Some spinach,C. A cup of coffee,D. A cup of tea,A. A bagel,yes,14.315,,,,,,,,,,,,,0,26,26,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_116_condition-2x.wav,Someday__Someday__Maybe__Unabridged___File_052_of_116_0.wav,Yes I noticed that this may come as a shock to you But many studies have shown there's at least a slight nutritional difference between spinach that's rotting in the crisper drawer and spinach That's ingested into the body Details I scoff I give up she says heading for the kitchen more coffee I Stare down at my bagel which seems to I me warily back Maybe Jane's right Maybe I need more education I wonder what Penelope schlotzky eats on Sunday Probably not bagels,What does the narrator stare down at?,A. A bagel,B. Some spinach,C. A cup of coffee,D. A cup of tea,A. A bagel,yes,14.315,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118.19227675,1122.4181926249998,1,4.217174124999929,4.217176749999908,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_65_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_032_of_116_0.wav,From the minute I walk into the wardrobe fitting in a trailer near mine I'm confused There are two giant rolling racks one full of tan trousers one stuffed with 30 or 40 identical blue shirts Oh Are there are there more people coming I ask a harried looking woman nearby She looks at me as though I've said something strange what oh the racks No those are all for you But aren't these all the same pants I say laughing a little,What does the narrator find confusing in the wardrobe fitting?,A. The lack of clothing options,B. The number of people there,C. The presence of a harried woman,D. The identical blue shirts and tan trousers,D. The identical blue shirts and tan trousers,no,8.778125,,,,,,,,,,,,,0,27,27,27,,,,,,,,,1122.426070166,,,,,,,,,,,,1126.5488702499997,1126.5648530416668,1126.563038583,1135.342437791,1135.3447619579997,1135.3559854579999,1135.5925427500001,1135.5925427500001,1139.092602666,1139.7179014580001,4.983333333333333,3.712216167000406,1,[0.63458483300019],[0.6345872910001162],,,,,,,,,,,,,,1139.7184011250001,1146.3631433329997,0,,,0,,,0,,,1,6.635372749999988,6.635376124999766,,,,,,,,1122.4187309999998,1122.426070166,1122.426070166,1122.426070166,1126.548689583,1,[4.128355792000093],[4.128358750000189],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_10_condition.wav,Someday__Someday__Maybe__Unabridged___File_008_of_116_2.wav,I've worn this combination so many times before that today my all black outfit feels a little boring a little blah What would Jane do I think to myself and pull a chunky brown leather belt from the top shelf of the closet slinging it low around my hips Finally taking weather and product into consideration I take the top part of my hair and tie it into a small black velvet scrunchie on top of my head The phone begins to ring from its place on the landing between my room and Jane's Hi Dad,What does the narrator wear to their class after the audition?,A. A black dress,B. A white t-shirt,C. A red skirt,D. A brown leather belt,D. A brown leather belt,no,28.93,,,,,,,,,,,,,0,28,28,28,,,,,,,,,1146.375918708,,,,,,,,,,,,1148.8649944159997,1148.8972192493334,1148.896468291,1177.8281163329998,1177.830079208,1177.852366958,1178.0649485,1178.0649485,1179.261987125,1180.000717541,9.983333333333334,1.3850146670001777,1,[0.7477755830000206],[0.7477779579999151],,,,,,,,,,,,,,1180.001158958,1190.2523515829998,0,,,0,,,0,,,1,10.243642707999697,10.243645166000078,,,,,,,,1146.3637477500001,1146.375918708,1146.375918708,1146.375918708,1148.8647893749999,1,[2.499351750000187],[2.4993544579997433],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
